"---General---", ""
"Shop All Categories", "Kategori Belanja"
"Buy Now", "Beli Sekarang"
"Subscribe Newsletter", "Berlangganan Newsletter"
"Thank you for your subscription.", "Terima kasih telah berlangganan newsletter"
"Connect With Us", "Terhubung dengan kami"
"Subscribe", "Langganan"
"<span>%s<span> items<br/>in Your Cart", "<span>%s</span> produk<br/> pesanan Anda"
"Customer Care", "Layanan Konsumen"
"Order Status", "Status Pesanan"
"All Categories", "Semua Kategori"
"Mage_Checkout::Item has been added successfully.", "Produk berhasil ditambahkan"
"Or", "atau"
"Enter your email...", "Masukkan email Anda..."
"Day", "Hari"
"Month", "Bulan"
"Year", "Tahun"
"Privacy", "Privasi"
"Item was removed successfully.", "Produk berhasil dihapus"
"/ barang", "/ produk"
"Processing", "Diproses"
"Orders can not be found.", "Pesanan tidak ditemukan"
"%s-%s of %s", "%s-%s dari %s"
"Pilih Nomor Order Anda", "Pilih Nomor Pesanan Anda"
"Lihat Order", "Lihat Pesanan"
"Detail Order Anda", "Detail Pesanan Anda"
"Shopping Cart is Empty", "Troli belanja kosong"
"Are you sure you would like to remove this item from the shopping cart?", "Apakah Anda ingin menghapus produk ini dari Troli Belanja?"
"Are you sure you would like to remove this item from the wishlist?", "Apakah Anda ingin menghapus produk ini dari Wishlist?"
"Some products are not salable anymore.", "Potongan harga sudah tidak berlaku untuk produk berikut"
"Sale was closed for this product.", "Promo potongan harga untuk produk ini sudah berakhir"
"Contact Us", "Hubungi Kami"
"Search results for: '%s'", "Hasil Pencarian Untuk: '%s'"
"Search results for '%s'", "Hasil Pencarian Untuk '%s'"
"Did you mean:", "Mungkin maksud Anda:"
"The address has been saved.","Alamat telah disimpan"
"Please specify payment method.","Silakan pilih Metode Pembayaran"
"E-mail address", "Alamat email"
"Not Registered?","Belum terdaftar?"
"Click Here", "Klik disini"
"Sign in to speed up your checkout process", "Masuk dengan akun Anda dan nikmati kemudahan berbelanja"
"Checkout as a Guest or Register", "Checkout sebagai Guest atau Daftar Sekarang"
"Register with us for future convenience:", "Daftar sekarang dan dapatkan berbagai keuntungannya!"
"Register & Checkout", "Daftar Sekarang"
"Please enter a valid email address. For example johndoe@domain.com.", "Silakan masukkan email yang valid. Contoh : johndoe@domain.com"
"This is not an email address!", "Yang Anda masukkan bukan alamat email"
"Password is required!", "Masukkan kata sandi Anda"
"Email address is required!", "Masukkan email Anda"
"Forgot Your Password?", "Lupa Kata Sandi?"
"Please enter your email address below. You will receive a link to reset your password.", "Silakan masukkan email Anda di bawah ini. Kami akan mengirimkan email beserta link untuk mengubah kata sandi Anda."
"Back to Login", "Kembali"
"There was a problem with the subscription.","Terjadi kesalahan saat proses berlangganan newsletter"
"There was a problem with the subscription: %s","Terjadi kesalahan saat proses berlangganan newsletter: %s"
"This email address is already assigned to another user.", "Email telah digunakan sebelumnya"
'Sorry, but administrator denied subscription for guests. Please <a href="%s">register</a>.', 'Permintaan ditolak untuk guests. Silakan <a href="%s">daftar </a> terlebih daulu.'
"Please enter a valid email address.", "Masukkan email yang valid."
"Thank you for registering with %s.", "Terima kasih karena telah bergabung dengan ruparupa.com!"
"The value is not within the specified range.","Hanya dapat diisi dengan angka saja"
"The account information has been saved.", "Informasi pada akun Anda telah disimpan"
"Please select an option.", "Tentukan pilihan Anda terlebih dahulu"
"Related Search Terms","Pencarian terkait"
"Related search terms:","Pencarian terkait:"

"---Category---", ""
 
"---Product---", ""
"Sort By", "Urutkan"
"Position", "Posisi"
"Name", "Nama"
"Price", "Harga"
"Show", "Tampilkan"
"Shipment Method", "Metode Pengiriman"
"None", "Tidak"
"Free Delivery", "Gratis Ongkir"
"Color", "Warna"
"Add to cart", "Beli"
"Add to Wishlist", "Tambah ke Wishlist"
"Availability", "Stok"
"Category", "Kategori"
